Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,Label
FE80:0000:0000:0000:0042:E8FF:FEC7:3800-FF02:0000:0000:0000:0000:0000:0000:0002-0-0-0,FE80:0000:0000:0000:0042:E8FF:FEC7:3800,0,FF02:0000:0000:0000:0000:0000:0000:0002,0,0,1970-01-21 05:02:19.388675,29757,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,134.42215277077662,9919.0,6457.589256061429,16896.0,4152.0,29757.0,9919.0,6457.589256061429,16896.0,4152.0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.42215277077662,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,NeedManualLabel
FE80:0000:0000:0000:0042:D2FF:FE69:4000-FF02:0000:0000:0000:0000:0000:0000:0016-0-0-0,FE80:0000:0000:0000:0042:D2FF:FE69:4000,0,FF02:0000:0000:0000:0000:0000:0000:0016,0,0,1970-01-21 05:02:19.447808,333,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6006.006006006006,333.0,0.0,333.0,333.0,333.0,333.0,0.0,333.0,333.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6006.006006006006,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,NeedManualLabel
FE80:0000:0000:0000:0042:38FF:FEE0:2D00-FF02:0000:0000:0000:0000:0000:0000:0016-0-0-0,FE80:0000:0000:0000:0042:38FF:FEE0:2D00,0,FF02:0000:0000:0000:0000:0000:0000:0016,0,0,1970-01-21 05:02:19.471231,767,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2607.561929595828,767.0,0.0,767.0,767.0,767.0,767.0,0.0,767.0,767.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2607.561929595828,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,NeedManualLabel
FE80:0000:0000:0000:0042:EEFF:FE80:1B00-FF02:0000:0000:0000:0000:0000:0000:0016-0-0-0,FE80:0000:0000:0000:0042:EEFF:FE80:1B00,0,FF02:0000:0000:0000:0000:0000:0000:0016,0,0,1970-01-21 05:02:19.450239,576,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3472.222222222222,576.0,0.0,576.0,576.0,576.0,576.0,0.0,576.0,576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3472.222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,NeedManualLabel
FE80:0000:0000:0000:0C40:6FFF:FEB9:374D-FF02:0000:0000:0000:0000:0000:0000:0002-0-0-0,FE80:0000:0000:0000:0C40:6FFF:FEB9:374D,0,FF02:0000:0000:0000:0000:0000:0000:0002,0,0,1970-01-21 05:02:19.389760,139261,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14.361522608626967,139261.0,0.0,139261.0,139261.0,139261.0,139261.0,0.0,139261.0,139261.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.361522608626967,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,NeedManualLabel
FE80:0000:0000:0000:0042:74FF:FEB0:3C00-FF02:0000:0000:0000:0000:0000:0000:0002-0-0-0,FE80:0000:0000:0000:0042:74FF:FEB0:3C00,0,FF02:0000:0000:0000:0000:0000:0000:0002,0,0,1970-01-21 05:02:19.389820,30145,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,132.69198872118096,10048.333333333334,6790.054074404219,17410.0,4031.0,30145.0,10048.333333333334,6790.054074404219,17410.0,4031.0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.69198872118096,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,NeedManualLabel
::-FF02:0000:0000:0000:0000:0001:FF81:9700-0-0-0,::,0,FF02:0000:0000:0000:0000:0001:FF81:9700,0,0,1970-01-21 05:02:19.390970,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,NeedManualLabel
FE80:0000:0000:0000:0042:2CFF:FE8A:7000-FF02:0000:0000:0000:0000:0000:0000:0002-0-0-0,FE80:0000:0000:0000:0042:2CFF:FE8A:7000,0,FF02:0000:0000:0000:0000:0000:0000:0002,0,0,1970-01-21 05:02:19.463743,27391,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,146.03336862473077,9130.333333333334,5794.259429239714,15360.0,3902.0,27391.0,9130.333333333334,5794.259429239714,15360.0,3902.0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.03336862473077,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,NeedManualLabel
FE80:0000:0000:0000:0042:8BFF:FE27:6800-FF02:0000:0000:0000:0000:0000:0000:0016-0-0-0,FE80:0000:0000:0000:0042:8BFF:FE27:6800,0,FF02:0000:0000:0000:0000:0000:0000:0016,0,0,1970-01-21 05:02:19.461376,639,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3129.8904538341158,639.0,0.0,639.0,639.0,639.0,639.0,0.0,639.0,639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3129.8904538341158,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,NeedManualLabel
::-FF02:0000:0000:0000:0000:0001:FF26:A700-0-0-0,::,0,FF02:0000:0000:0000:0000:0001:FF26:A700,0,0,1970-01-21 05:02:19.475590,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,NeedManualLabel
